## SLURM PROLOG ###############################################################
##    Job ID : 2037707
##  Job Name : run_vaih
##  Nodelist : gpu2105
##      CPUs : 1
##  Mem/Node : 16384 MB
## Directory : /oscar/home/xwang259/CSCI1430-Final-Project-MedImage-Segmentation/CSCI1430-Final-Project-MedImage-Segmentation/segdiff
##   Job Started : Mon May 13 12:28:32 AM EDT 2024
###############################################################################
2024-05-13-00-28-39-950679  Logging to /tmp/openai-2024-05-13-00-28-39-950491
2024-05-13-00-28-39-950935  {'clip_denoised': False, 'num_samples': 10000, 'batch_size': 4, 'use_ddim': False, 'model_path': '/users/xwang259/CSCI1430-Final-Project-MedImage-Segmentation/CSCI1430-Final-Project-MedImage-Segmentation/logs/2024-05-13-00-11-53-894787_vaih_256_6_0.0001_4_100_0.1_0/model_1000.pt', 'image_size': 256, 'num_channels': 128, 'num_res_blocks': 3, 'num_heads': 4, 'num_heads_upsample': -1, 'attention_resolutions': '16,8', 'dropout': 0.1, 'rrdb_blocks': 6, 'deeper_net': True, 'learn_sigma': False, 'sigma_small': False, 'class_cond': False, 'class_name': 'train', 'expansion': False, 'diffusion_steps': 100, 'noise_schedule': 'linear', 'timestep_respacing': '', 'use_kl': False, 'predict_xstart': False, 'rescale_timesteps': False, 'rescale_learned_sigmas': False, 'use_checkpoint': False, 'use_scale_shift_norm': False, 'seed': None, 'data_dir': '', 'schedule_sampler': 'uniform', 'lr': 0.0001, 'weight_decay': 0.0, 'lr_anneal_steps': 0, 'microbatch': -1, 'ema_rate': '0.9999', 'save_interval': 1000, 'start_print_iter': 75000, 'log_interval': 200, 'run_without_test': False, 'resume_checkpoint': '', 'use_fp16': True, 'fp16_scale_growth': 0.001}
2024-05-13-00-28-39-974543  Logging to /users/xwang259/CSCI1430-Final-Project-MedImage-Segmentation/CSCI1430-Final-Project-MedImage-Segmentation/logs/2024-05-13-00-11-53-894787_vaih_256_6_0.0001_4_100_0.1_0/model_1000_major_vote
2024-05-13-00-28-39-974643  creating model and diffusion...
2024-05-13-00-28-42-920033  sampling major vote val
2024-05-13-00-29-46-432594  building_101 iou 0.0, f1_Score 0.0, WCov 0.7590456213948611, boundF 0.07329484021041101
2024-05-13-00-30-48-885827  building_102 iou 0.0002654632333421821, f1_Score 0.0005307855626326963, WCov 0.9185336048879837, boundF 0.023279101450066408
2024-05-13-00-31-51-388697  building_103 iou 0.015047371354263421, f1_Score 0.02964860907759883, WCov 0.17834806987276255, boundF 0.09088810486713168
2024-05-13-00-32-53-890044  building_104 iou 0.37391128215515496, f1_Score 0.5443019312988353, WCov 0.764109232769831, boundF 0.19772968399389312
2024-05-13-00-33-56-340198  building_105 iou 0.0, f1_Score 0.0, WCov 0.4945089425792281, boundF 0.0
2024-05-13-00-34-58-836202  building_106 iou 0.002374983507058979, f1_Score 0.004738712649730157, WCov 0.002374983507058979, boundF 0.0
2024-05-13-00-36-01-313130  building_107 iou 0.06571840115232265, f1_Score 0.12333164385875994, WCov 0.5227682016979676, boundF 0.08995568515035601
2024-05-13-00-37-03-790835  building_108 iou 0.05448768864177919, f1_Score 0.10334438083760168, WCov 0.5748517200474496, boundF 0.06544942117714907
